recipe_id,distinct_ingredients,ingredient_quantities,cooking_time,user_satisfaction_rating
1,6,405.81311290499434,47.968694123670325,2
2,6,953.1785910894204,43.28489106661138,4
3,6,745.3942447208349,25.257699937828907,5
4,5,618.7255599871847,74.83566706167112,5
5,7,198.2177084203147,59.81177845849232,3
6,9,198.1947943193925,104.55561411726042,1
7,5,105.17943155978949,8.6926017554367,3
8,10,872.8673384861884,79.04481166883953,1
9,9,621.0592611560484,92.73912102882953,3
10,4,722.6689489062433,92.34095545665531,3
11,5,69.55526958101233,106.89850621598539,5
12,4,971.4143595538947,88.83888042539182,1
13,3,840.8205087604007,111.69815708948508,2
14,8,251.72215514436235,43.25550897940252,2
15,10,222.73371884674557,62.86908292642745,3
16,7,224.23428436076213,6.619161277532427,3
17,10,339.0301308115608,5.8001225398784895,5
18,9,548.518610050626,32.61456135192479,1
19,5,460.34776771001,16.592827670994804,3
20,10,326.6676831881398,34.92430731261167,2
21,9,631.2602499862605,25.3599788707657,1
22,10,182.51916761943974,8.279802856444547,3
23,8,327.53741610845725,109.56997683669569,1
24,5,398.0437511290071,5.9456601097225255,5
25,10,483.26648500618415,89.64944659876483,2
26,10,795.917163323363,22.4970069957444,1
27,5,239.69009305044176,109.906406529954,2
28,10,538.5227164929311,107.67153305283686,3
29,10,612.7938404189404,80.1986318324646,4
30,5,94.12789208399784,82.3069272270696,1
31,5,627.1676093063664,5.614001326514183,2
32,4,211.99791750292695,118.26023010306423,1
33,7,111.79901333601555,105.95074941121865,3
34,4,951.4412603906666,107.93721595896058,3
35,9,967.3504314208313,80.81312176085028,2
36,7,817.9774807106381,44.6504967952717,5
37,9,339.38308071470215,107.76959464540529,1
38,10,142.78850830606467,38.52444673738712,1
39,6,700.021375186549,69.71182748435334,3
40,9,468.14486905262123,16.469061819546475,1
41,10,165.9363231025399,111.02489746526626,2
42,9,520.4180646057066,21.18860264368953,4
43,4,82.66909505945748,30.863132658996836,3
44,4,913.8543819748429,69.18542818474472,4
45,4,295.84098252001604,92.87069502449287,1
46,4,679.3961701362829,76.22540018267438,5
47,6,346.1255222849404,31.69539997201796,2
48,3,544.0646201189203,5.108449890661388,1
49,5,569.3747653761156,92.07231673535551,2
50,9,225.61173274925068,118.29884247977577,1
51,6,971.1053963763306,98.1400088352004,1
52,7,786.3761821930589,57.923761088010764,1
53,8,942.5239944859796,108.93323506089726,3
54,4,900.0859829062664,52.13248240861025,4
55,8,618.0049798705309,65.36741968799876,5
56,3,925.780523271961,59.869923250503575,4
57,5,134.06787694932353,56.47674535653537,4
58,10,236.18371929818795,94.14693846879916,2
59,4,92.96592446501117,65.57842433599157,3
60,7,359.0638142251011,41.42246903289985,3
61,7,419.2434252050079,34.688189280725005,1
62,9,307.7815801852011,9.340941451254839,4
63,10,837.3006336943329,72.06744361655029,5
64,3,388.9156603589098,31.445562771118933,2
65,7,316.88778420301173,22.035401031884057,3
66,5,565.5612790003361,80.19044584018293,1
67,4,183.8780137260245,83.33906464947812,5
68,5,812.0871317163377,91.49781260963158,4
69,5,120.82311149578229,62.91134307893802,5
70,5,987.5425897704914,107.81627959844695,3
71,9,783.6325308318245,112.6794166407962,2
72,7,238.7798974574638,97.84765807613628,4
73,3,55.246011267422276,78.09325043094152,2
74,8,824.6883570320924,39.9279096629867,5
75,4,721.5144766552363,118.03866598632544,5
76,5,742.5568096389379,36.52565922707291,1
77,10,782.7068293516485,28.30554602889957,4
78,6,120.34241914738584,55.84772308545702,5
79,9,390.54244211705895,11.536665631924674,3
80,10,160.07560654887322,117.52686343725594,3
81,6,869.9482545818139,72.66985898788886,2
82,5,642.13322048618,69.04949054138015,3
83,3,364.3531236100167,80.41657218846778,5
84,3,110.38043277172245,62.15771949437877,3
85,9,345.43320562987907,8.687304465872282,4
86,4,358.9241559254097,75.41579821664563,2
87,6,743.1258694211608,87.35999584998953,4
88,3,655.6795977874525,52.926141971766114,5
89,10,892.8521054475102,92.08899078818719,5
